Title,Artist,Year,Rank,Lyrics
Never Gonna Let You Go,Sérgio Mendes,1983,16,"I was as wrong as I could beTo let you get away from meI'll regret that move for as long as I'm livingBut now that I've come to see the lightAll I wanna do is make things rightSo just say the wordAnd tell me that I'm forgivenYou and meWe're gonna be better than we were beforeI loved you thenBut now I intend to open upAnd love you even moreThis time you can be sureI'm never gonna let you goI'm gonna hold you in my arms foreverGonna try and make up for all the timesI hurt you soGonna hold your body close to mineFrom this day onWe're gonna be togetherOh, I swear this timeI'm never gonna let you go"
Hungry Like the Wolf,Duran Duran,1983,17,"[Intro]Ha-ha![Verse 1]Darken the city, night is a wireSteam in the subway, earth is afireDo do do do do do do dodo dododo dodoWoman you want me, give me a signAnd catch my breathing even closer behindDo do do do do do do dodo dododo dodo[Chorus]In touch with the groundI'm on the hunt, I'm after youSmell like I sound, I'm lost in a crowdAnd I'm hungry like the wolfStraddle the line, in discord and rhymeI'm on the hunt, I'm after youMouth is alive, with juices like wineAnd I'm hungry like the wolf[Verse 2]Stalked in the forest, too close to hideI'll be upon you by the moonlight sideDo do do do do do do dodo dododo dodoHigh blood drumming on your skin, it's so tightYou feel my heat, I'm just a moment behindDo do do do do do do dodo dododo dodo"
Let's Dance,David Bowie,1983,18,"[Intro]Ah, ah, ah, ah[Refrain](Let's dance)(Let's dance)[Verse 1](Let's dance) put on your red shoes and dance the blues(Let's dance) to the song they're playing on the radio(Let's sway) while colour lights up your face(Let's sway) sway through the crowd to an empty space[Chorus]If you say run, I'll run with youAnd if you say hide, we'll hideBecause my love for you would break my heart in twoIf you should fall, into my arms and tremble like a flower[Refrain](Let's dance)(Let's dance)[Verse 2](Let's dance) for fear your grace should fall(Let's dance) for fear tonight is all(Let's sway) you could look into my eyes(Let's sway) under the moonlight, this serious moonlight"
Twilight Zone,Golden Earring,1983,19,"Somewhere in a lonely hotel roomThere's a guy starting to realizeThat his eternal fate has turned its back on himIt's two A.MIt's two A.M., the fear has goneI'm sitting here waitin', the gun still warmMaybe my connection is tired of takin' chancesYeah, there's a storm on the loose, sirens in my headWrapped up in silence, all circuits are deadCannot decode, my whole life spins into a frenzyHelp, I'm steppin' into the Twilight ZonePlace is a madhouse, feels like being clonedMy beacon's been moved under moon and starWhere am I to go now that I've gone too far?Help, I'm steppin' into the Twilight ZonePlace is a madhouse, feels like being clonedMy beacon's been moved under moon and starWhere am I to go now that I've gone too far?Soon you will come to knowWhen the bullet hits the boneSoon you will come to knowWhen the bullet hits the bone"
I Know There's Something Going On,Anni-Frid Lyngstad,1983,20,"I can see that it won't be longYou grow cold when you keep holding onYou know you've changed and your words, they lieThat's something you can't denyI call, you're not at homeYou're home, but you're not aloneIf you wanna leave then why don't you say itYour love has gone anywayI know there's something going onI know there's something going onI know it won't be longWon't be long before you're goneThere's something going onThere's something going onI know a good thing must come to an endBut it's hard to take losing a friendI know what you think and what's in your mindSo darling, look, why pretendI know there's something going onI know there's something going onI know it won't be longIt won't be long before you're goneThere's something going onThere's something going onThere's something going onThere's something going on"
Jeopardy,The Greg Kihn Band,1983,21,
Electric Avenue,Eddy Grant,1983,22,"[Intro]Oi!Oi![Verse 1]Now in the street, there is violenceAnd a lots of work to be doneNo place to hang out the washin'And I can't blame all on the sun, oh no[Chorus]We gonna rock down to Electric AvenueAnd then we'll take it higherOh, we gonna rock down to Electric AvenueAnd then we'll take it higher[Verse 2]Workin' so hard like a soldierCan't afford a thing on TVDeep in my heart, I abhor yaCan't get food for the kid, good God[Chorus]We gonna rock down to Electric AvenueAnd then we'll take it higherHo, we gonna rock down to Electric AvenueAnd then we'll take it higher"
She Blinded Me with Science,Thomas Dolby,1983,23,"HaIt's poetry in motionShe turned her tender eyes to meAs deep as any oceanAs sweet as any harmonyBut she blinded me with science(She blinded me with science!)Failed me in biology, hey, huh, huhNowHuh, huhWhen I'm dancing close to her(Blinding me with science, science)(Science!)I can smell the chemicals(Blinding me with science, science)(Science!)(Science!)Now, but it's poetry in motionWhen she turned her eyes to meAs deep as any oceanSweet as any harmonyShe blinded me with science(She blinded me with science!)Failed me in geometry(Huh, huh, huh, huh, huh, huh)"
Africa,Toto,1983,24,"[Verse 1: David Paich]I hear the drums echoing tonightBut she hears only whispers of some quiet conversationShe's coming in, 12:30 flightHer moonlit wings reflect the stars that guide me towards salvationI stopped an old man along the wayHoping to find some old forgotten words or ancient melodiesHe turned to me as if to say""Hurry, boy, it's waiting there for you""[Chorus: Bobby Kimball]It's gonna take the lot to drag me away from youThere's nothing that a hundred men or more could ever doI bless the rains down in AfricaGonna take some time to do the things we never had[Verse 2: David Paich]The wild dogs cry out in the nightAs they grow restless longing for some solitary companyI know that I must do what's rightAs sure as Kilimanjaro rises like Olympus above the SerengetiI seek to cure what's deep insideFrightened of this thing that I've become[Chorus: Bobby Kimball]It's gonna take the lot to drag me away from youThere's nothing that a hundred men or more could ever doI bless the rains down in AfricaGonna take some time to do the things we never had"
Little Red Corvette,Prince,1983,25,"[Verse 1]I guess I should've known by the way you parked your car sidewaysThat it wouldn't lastSee, you're the kinda person that believes in makin' out onceLove 'em and leave 'em fastI guess I must be dumb 'cause you had a pocket full of horsesTrojan and some of them used[Pre-Chorus]But it was Saturday night, I guess that makes it all rightAnd you say - ""What have I got to lose?""[Chorus]And honey, I say Little Red CorvetteBaby, you're much too fast (Oh)Little Red CorvetteYou need a love that's gonna last[Verse 2]I guess I should've closed my eyes when you drove me to the placeWhere your horses run free'Cause I felt a little ill when I saw all the picturesOf the jockeys that were there before meBelieve it or not, I started to worryI wondered if I had enough class"
Back on the Chain Gang,The Pretenders,1983,26,"[Verse 1]I found a picture of you, oh oh oh ohWhat hijacked my world that nightTo a place in the past we've been cast out of? oh oh oh ohNow we're back in the fight[Chorus]We're back on the trainOh, back on the chain gang[Verse 2]A circumstance beyond our control, oh oh oh ohThe phone, the TV, and the news of the worldGot in the house like a pigeon from hell, oh oh oh ohThrew sand in our eyes and descended like flies[Chorus]Put us back on the trainOh, back on the chain gang[Bridge]The powers that be that force us to live like we doBring me to my knees when I see what they've done to youBut I'll die as I stand here today knowing that deep in my heartThey'll fall to ruin one day for making us part"
Up Where We Belong,Joe Cocker,1983,27,"[Verse 1]Who knows what tomorrow bringsIn a world few hearts surviveAll I know is the way I feelWhen it's real, I keep it alive[Refrain]The road is longThere are mountains in our wayBut we climb a step every day[Chorus]Love lift us up where we belongWhere the eagles cry, on a mountain highLove lift us up where we belongFar from the world below, up where the clear winds blow[Verse 1]Some hang on to ""used to be""Live their lives looking behindAll we have is here and nowAll our life, out there to find[Refrain]The road is longThere are mountains in our wayBut we climb a step every day"
Mr. Roboto,Styx,1983,28,"[​Intro]​(Domo arigato, Mr. Roboto)どうもありがとうミスターロボット (domo arigato Mr. Roboto)また会う日まで (mata au hima de)どうもありがとうミスターロボット (domo arigato Mr. Roboto)秘密を知りたい (himitsu wo shiri tai)[Verse 1]You're wondering who I am (Secret, secret, I've got a secret)Machine or mannequin (Secret, secret, I've got a secret)With parts made in Japan (Secret, secret, I've got a secret)I am the Modren Man[Verse 2]I've got a secret I've been hiding under my skinMy heart is human, my blood is boiling, my brain IBMSo if you see me acting strangely, don't be surprisedI'm just a man who needed someone and somewhere to hideTo keep me alive, just keep me aliveSomewhere to hide to keep me alive[Verse 3]I'm not a robot without emotions, I'm not what you seeI've come to help you with your problems, so we can be freeI'm not a hero, I'm not a savior, forget what you knowI'm just a man whose circumstances went beyond his controlBeyond my control, we all need controlI need control, we all need control"
You Are,Lionel Richie,1983,29,"[Verse 1]Baby you'll findThere's only one loveYours and mineI've got so much loveAnd needing you soMy love for youI'll never let goI've got so much loveAll I want is to hold youLet me show how much I love you baby (show you)I don't mind and I don't mind (loving you)Girl I love youThere's no one above you[Chorus]You are the sunYou are the rainThat makes my life this foolish gameYou need to knowI love you soAnd I'd do it all again and again(oh oh oh oh yeah yeah)[Verse 2]Tell me it's trueI can't believe you do what you doI've got so much loveAnd my love you'll seeWe'll stay together, just you and meI've got so much loveOnly you (know me)Tell me how to love you baby (show me)I don't mind and I don't mind (tell me)Girl, I love youAlways thinking of you"
Der Kommissar,After the Fire,1983,30,"Zwei, drei, vier, one, two, three, it's easy to seeBut it's not that I don't care, so?'Cause I hear it all the time but they never let you knowOn the TV and the radio, cha!She was young, her heart was pureBut every night is bright she gotShe said sugar is sweet, she come a-rappin' to the beatThen I knew that she was hot, she was singin'Don't turn around, wa-uh-oh (yeah-yeah)Der Kommissar's in town, wa-uh-ohYou're in his eye and you'll know whyThe more you live, the faster you will dieAlles klar, Herr Kommissar?She said, ""Babe, you know, I miss Jill and JoeAnd all my funky friends""But my street understanding was just enoughTo know what she really meantAnd I got to thinking while she was talkingThat I know she told the storyOf those special places that she goesAnd when she rides with the others in the subway singingDon't turn around, wa-uh-oh (yeah-yeah)Der Kommissar's in town, wa-uh-ohAnd if he talks to you and you don't know whyYou say your life is gonna make you die"
Puttin' on the Ritz,Taco,1983,31,"If you're blue and you don't know where to go toWhy don't you go where fashion sits?Puttin' on the ritzDifferent types who wear a day coatPants with stripes and cutaway coat, perfect fitsPuttin' on the ritzDressed up like a million-dollar trouperTrying hard to look like Gary Cooper (Super duper)Come, let's mix where RockefellersWalk with sticks or umbrellas in their mittsPuttin' on the ritzHave you seen the well-to-doUp and down Park Avenue?On that famous thoroughfareWith their noses in the airHigh hats and Arrow collarsWhite spats and lots of dollarsSpending every dime for a wonderful timeIf you're blue and you don't know where to go toWhy don't you go where fashion sits?Puttin' on the ritzDifferent types who wear a day coatPants with stripes and cutaway coat, perfect fitsPuttin' on the ritz"
Sexual Healing,Marvin Gaye,1983,32,"[Intro]Get up, get up, get up, get upWake up, wake up, wake up, wake upOoh baby, now let's get down tonight[Verse 1]Baby I'm hot just like an ovenI need some lovin'And baby, I can't hold it much longerIt's getting stronger and stronger[Chorus]And when I get that feelingI want sexual healingSexual healing, oh babyMakes me feel so fineHelps to relieve my mindSexual healing baby, is good for meSexual healing is something that's good for me[Verse 2]Whenever blue tear drops are fallingAnd my emotional stability is leaving meThere is something I can doI can get on the telephone and call you up baby, andHoney I know you'll be there to relieve meThe love you give to me will free meIf you don't know the thing you're dealingOh I can tell you, darling, that it's sexual healing"
(Keep Feeling) Fascination,The Human League,1983,33,"[Verse 1]If it seems a little time is neededDecisions to be madeThe good advice of friends unheededThe best of plans mislaidJust looking for a new directionIn an old familiar wayThe forming of a new connectionTo study or to play[Pre-Chorus]And so the conversation turnedUntil the sun went downAnd many fantasies were learnedOn that day[Chorus]Keep feeling fascinationPassion burningLove so strongKeep feeling fascinationLooking, learningMoving on[Verse 2]Well, the truth may need some rearrangingStories to be toldAnd plain to see the facts are changingNo meaning left to hold"
Time (Clock of the Heart),Culture Club,1983,34,"Don't put your head on my shoulderSink me in a river of tearsThis could be the best place yetBut you must overcome your fearsOoh in time it could have been so much moreThe time is precious I knowIn time it could have been so much moreThe time has nothing to showBecause time won't give me timeAnd time makes lovers feelLike they've got something realBut you and me we knowThey've got nothing but timeAnd time won't give me timeWon't give me time(Time, Time, Time...)Don't make me feel any colderTime is like a clock in my heartTouch we touch was the heat too muchI felt I lost you from the startOoh, in time it could have been so much moreThe time is precious I knowIn time it could have been so much moreThe time has nothing to show"
The Safety Dance,Men Without Hats,1983,35,"[Verse 1]We can dance if we want toWe can leave your friends behind'Cause your friends don't danceAnd if they don't danceWell they're no friends of mine[Verse 2]I say, we can go where we want toA place where they'll never findAnd we can act like we come from out of this worldLeave the real one far behindWe can dance (Danser!)[Verse 3]We can go where we want toThe night is young and so am IAnd we can dress real neatFrom our hats to our feetAnd surprise 'em with a victory cry[Verse 4]I say, we can act if we want toIf we don't nobody willAnd you can act real rudeAnd totally removedAnd I can act like an imbecile"
Mickey,Toni Basil,1983,36,"[Refrain]Oh, MickeyYou're so fineYou're so fine you blow my mindHey, MickeyHey, MickeyOh, MickeyYou're so fineYou're so fine you blow my mindHey, MickeyHey, MickeyOh, MickeyYou're so fineYou're so fine you blow my mindHey, MickeyHey, MickeyOh, MickeyYou're so fineYou're so fine you blow my mindHey, Mickey[Verse 1]Hey, MickeyYou've been around all nightAnd that's a little longYou think you've got the rightBut I think you've got it wrongWhy can’t you say goodnightSo you can take me home Mickey?'Cause when you say you willIt always means you won'tYou're giving me the chillsBaby, please, baby, don'tEvery night you still leave me all alone, Mickey"
You Can't Hurry Love,Phil Collins,1983,37,"[Intro]I need love, loveOoh, ease my mindAnd I need to find timeSomeone to call mine;[Chorus 1]My mama said, ""You can't hurry loveNo, you'll just have to wait""She said, ""Love don't come easyBut it's a game of give and take""You can't hurry loveNo, you'll just have to waitJust trust in a good timeNo matter how long it takes[Verse 1]How many heartaches must I standBefore I find the love to let me live again?Right now the only thing that keeps me hanging onWhen I feel my strength, ooh, it's almost gone[Chorus 2]I remember mama said, ""You can't hurry loveNo, you'll just have to wait""She said, ""Love don't come easyIt's a game of give and take""How long must I wait?How much more must I takeBefore lonelinessWill cause my heart, heart to break?"
Separate Ways (Worlds Apart),Journey,1983,38,"[Verse 1]Here we standWorlds apart, hearts broken in two, two, twoSleepless nightsLosing ground, I'm reaching for you, you, youFeeling that it's goneCan't change your mindIf we can't go onTo survive the tideLove divides[Chorus]Someday love will find youBreak those chains that bind youOne night will remind youHow we touched and went our separate waysIf he ever hurts youTrue love won't desert youYou know I still love youThough we touched and went our separate ways[Verse 2]Troubled timesCaught between confusion and pain, pain, painDistant eyesPromises we made were in vain, in vain, in vainIf you must goI wish you luckYou'll never walk aloneTake care, my loveMiss you, love"
One on One,Hall & Oates,1983,39,"[Verse 1]I'm tired of playing on the teamOoh, it seems I don't get time out anymoreWhat a change if we set the pace, face to faceNo one even trying to scoreOh, oh, I can feel the magic of your touchAnd when you move in close a little bit means so muchOoh, yeah, you've got to understand, babyTime out is what I'm here for[Chorus]One on one, I wanna play that game tonightOne on one, I know I wanna play thatOne on one, I wanna play that game tonightOne on one, so slow, ooh[Verse 2]You can't tell me you don't miss me girl, noI think I might know you too well, oh IWonder what you'd say if you knew that I was coming tonight(Want to) I want you can't you tell? Ooh[Chorus]One on one, I wanna play that game tonightOne on one, I know I wanna play thatOne on one, I wanna play that game tonightOne on one, so slow"
We've Got Tonight,Kenny Rogers,1983,40,"I know it's lateI know you're wearyI know your plans don't include meStill here we areBoth of us lonelyLonging for shelter from all that we seeWhy should we worry?No one will care, girlLook at the stars now, so far awayWe've got tonightWho needs tomorrow?We've got tonight, babe, why don't you stay?Deep in my soulI feel so lonelyAll of my hopes fading awayI've longed for loveLike everyone else doesI know I'll keep searching after todaySo there it is, girlWe've got it all nowAnd here we are, babeWhat do you say?"
1999,Prince,1983,41,"[Intro: Prince]Don't worry, I won't hurt youI only want you to have some fun[Verse 1: Prince, Lisa, Dez, All]I was dreamin' when I wrote thisForgive me if it goes astrayBut when I woke up this morningCould have sworn it was judgement dayThe sky was all purpleThere were people runnin' everywhereTryin' to run from the destructionYou know I didn't even care[Chorus: Prince and All]'Cause they say2000, zero-zero, party over, oops, out of timeSo tonight I'm gonna party like it's 1999[Verse 2: Prince, Lisa, Dez, All]I was dreamin' when I wrote thisSo sue me if I go too fastBut life is just a partyAnd parties weren't meant to lastWar is all around usMy mind says, ""Prepare to fight""So if I gotta dieI'm gonna listen to my body tonightYeah"
Stray Cat Strut,Stray Cats,1983,42,"[Intro]OohOohOohOohBlack and orange stray cat sittin' on a fenceAin't got enough dough to pay the rentI'm flat broke but I don't careI strut right by with my tail in the airStray cat strut I'm a ladies' catI'm a feline Casanova (Hey, man, that's that)Get a shoe thrown at me from a mean old manGet my dinner from a garbage can(Meow) Yeah, don't cross my path![Bridge]I don't bother chasing mice around (Oh no!)I slink down the alley lookin' for a fightHowlin' to the moonlight on a hot summer nightSingin' the blues while the lady cats cry""Wild stray cat, you're a real gone guy""I wish I could be as carefree and wildBut I got cat class and I got cat style"
Allentown,Billy Joel,1983,43,"[Verse 1]Well, we're living here in AllentownAnd they're closing all the factories downOut in Bethlehem, they're killing timeFilling out forms, standing in line[Verse 2]Well, our fathers fought the Second World WarSpent their weekends on the Jersey ShoreMet our mothers at the USOAsked them to dance, danced with them slow[Chorus]And we're living here in AllentownBut the restlessness was handed downAnd it's getting very hard to stay[Verse 3]Well, we're waiting here in AllentownFor the Pennsylvania we never foundFor the promises our teachers gaveIf we worked hard, if we behaved[Verse 4]So the graduations hang on the wallBut they never really helped us at allNo they never taught us what was realIron and coke, chromium steel[Chorus]And we're waiting here in AllentownBut they've taken all the coal from the groundAnd the union people crawled away[Bridge]Every child had a pretty good shotTo get at least as far as their old man gotBut something happenedOn the way to that placeThey threw an American flag in our face[Chorus]Well I'm living here in AllentownAnd it's hard to keep a good man downBut I won't be getting up today[Outro]And it's getting very hard to stayAnd we're living here in Allentown"
Stand Back,Stevie Nicks,1983,44,"[Verse 1]No one looked as I walked byJust an invitation would have been just fineSaid no to him again and againFirst, he took my heart, then he ranNo one knows how I feelWhat I say, unless you read between my linesOne man walked away from meFirst he took my handTake me home[Chorus]Stand back, stand backIn the middle of my room, I did not hear from youIt's alright, it's alrightTo be standing in a line (Standing in a line)To be standing in a lineI would cry[Post-Chorus]La la la la la la la la laLa laLa la la la la[Verse 2]Do not turn away my friendLike a willow, I can bendNo man calls my nameNo man cameSo, I walked on down, away from youMaybe your attention was more than you could doOne man did not callHe asked me for my love, and that was all"
Tell Her About It,Billy Joel,1983,45,"[Verse 1]Listen boy I don't want to see you let a good thing slip awayYou know I don't like watching anybody make the same mistakes I made[Bridge 1]She's a real nice girl and she's always there for youBut a nice girl wouldn't tell you what you should do[Verse 2]Oh, listen boy I'm sure that you think you got it all under controlYou don't want somebody telling you the way to stay in someone's soul[Pre-Chorus 1]You're a big boy now and you'll never let her goBut that's just the kind of thing she ought to know[Chorus 1]Tell her about it, tell her everything you feelGive her every reason to accept that you're for realTell her about it, tell her all your crazy dreamsLet her know you need her, let her know how much she means[Verse 3]Listen boy it's not automatically a certain guaranteeTo ensure yourself you've got to provide communication constantly[Pre-Chorus 2]When you love someone, you're always insecureAnd there's only one good way to reassure[Chorus 2]Tell her about it, let her know how much you careWhen she can't be with you, tell her you wish you were thereTell her about it, every day before you leavePay her some attention, give her something to believe[Bridge 2]Cause now and then she'll get to worryingJust because you haven't spoken for so longAnd though you may not have done anythingWill that be a consolation when she's gone?[Verse 4]Listen boy it's good information from a man who's made mistakesJust a word or two that she gets from you could be the difference that it makes[Pre-Chorus 3]She's a trusting soul, she's put her trust in youBut a girl like that won't tell you what you should do[Chorus 1]Tell her about it, tell her everything you feelGive her every reason to accept that you're for realTell her about it, tell her all your crazy dreamsLet her know you need her, let her know how much she means"
(There's) Always Something There to Remind Me,Naked Eyes,1983,46,"[Verse 1]I walk along the city streets you used to walk along with meAnd every step I take reminds me of just how we used to be[Chorus]Oh, how can I forget you, girl?When there is always something there to remind meAlways something there to remind me[Verse 2]When shadows fall, I pass a small cafe where we would dance at nightAnd I can't help recalling how it felt to kiss and hold you tight[Chorus]Oh, how can I forget you, girl?When there is always something there to remind meAlways something there to remind me[Post-Chorus]I was born to love her and I will never be freeYou'll always be a part of me, oh-woah-oh[Verse 3]If you should find you miss the sweet and tender love we used to shareJust go back to the places where we used to go and I'll be there"
Truly,Lionel Richie,1983,47,"[Verse 1]Girl, tell me only thisThat I'll have your heart for alwaysAnd you want me by your sideWhispering the words I'll always love youAnd forever I will be your loverAnd I know if you really careI will always be thereNow I need to tell you thisThere's no other love like your loveAnd I, as long as I liveI'll give you all the joyMy heart and soul can giveLet me hold youI need to have you near meAnd I feel with you in my armsThis love will last foreverBecause I'm trulyTruly in love with you girlI'm truly head over heels with your loveI need you, and with your love I'm freeAnd truly, you know you're alright with me"
Dirty Laundry,Don Henley,1983,48,"[Verse 1]I make my livin' off the evenin' newsJust give me somethin', somethin' I can usePeople love it when you loseThey love dirty laundry[Verse 2]Well, I coulda' been an actor, but I wound up hereI just have to look good, I don't have to be clearCome and whisper in my earGive us dirty laundry[Chorus]Kick 'em when they're upKick 'em when they're downKick 'em when they're upKick 'em when they're downKick 'em when they're upKick 'em when they're downKick 'em when they're upKick 'em all around[Verse 3]We got the bubble-headed bleached-blonde, comes on at fiveShe can tell you 'bout the plane crash with a gleam in her eyeIt's interesting when people dieGive us dirty laundry"
The Girl Is Mine,Michael Jackson,1983,49,"[Verse 1: Michael Jackson]Every night she walks right in my dreamsSince I met her from the startI'm so proud I am the only oneWho is special in her heart[Hook: Michael Jackson]The girl is mineThe doggone girl is mine, m-m-mI know she's mineBecause the doggone girl is mine m-m-m[Verse 2: Paul McCartney]I don't understand the way you thinkSaying that she's yours, not mineSending roses and your silly dreamsReally just a waste of time[Hook: Paul McCartney]Because she's mineThe doggone girl is mineDon't waste your timeBecause the doggone girl is mine[Verse 3: Michael + Paul]I love you more than he(Take you anywhere)Well I love you endlessly(Loving we will share)So come and go with meTo one's town"
Too Shy,Kajagoogoo,1983,50,"[Verse 1]Tongue tied or short of breathDon't even tryTry a little harderSomething's wrongYou're not naive, you must be strongOoh, baby try[Pre-Chorus]Hey girl, move a little closer[Chorus]You're too shy shy, hush hush eye to eyeToo, shy shy, hush hush, eye to eyeToo shy shy, hush hush eye to eyeToo, shy shy, hush hush[Verse 2]Modern medicine falls short of your complaintOoh, try a little harderMoving in circles won't you dilateOoh, baby try[Pre-Chorus]Hey girl, move a little closer"
Goody Two-Shoes,Adam Ant,1983,51,"With the heartbreak openSo much you can't hidePut on a little makeup, makeupMake sure they get your good side, good sideIf the word's unspokenGets stuck in your throatSend a treasure token, tokenWrite it on a pound note, pound noteGoody two, goody two, goody goody two shoesGoody two, goody two, goody goody two shoesDon't drink, don't smoke, what do you do?You don't drink, don't smoke, what do you do?Subtle innuendos followThere must be something insideWe don't follow fashionThat'd be a jokeYou know we're going to set them, set themSo everyone can take note, take noteWhen they saw you kneelingCrying words that you meanOpening their eyeballs, eyeballsPretending that you're Al Green, Al GreenGoody two, goody two, goody goody two shoesGoody two, goody two, goody goody two shoesDon't drink, don't smoke, what do you do?You don't drink, don't smoke, what do you do?Subtle innuendos followMust be something inside"
Rock the Casbah,The Clash,1983,52,"[Verse 1]Now the king told the boogie menYou have to let that raga dropThe oil down the desert wayHas been shaken to the topThe Sheikh he drove his CadillacHe went a' cruisin' down the villeThe Muezzin was a'standingOn the radiator grille[Chorus]Shareef don't like itRockin' the Casbah, rock the CasbahShareef don't like itRockin' the Casbah, rock the Casbah[Verse 2]By order of the prophetWe ban that boogie soundDegenerate the faithfulWith that crazy Casbah soundBut the Bedouin they brought outThe electric kettle drumThe local guitar pickerGot his guitar pickin' thumbAs soon as the ShareefCleared the squareThey began to wail"
Our House,Madness,1983,53,"[Verse 1]Father wears his Sunday bestMother's tired, she needs a rest, the kids are playing up downstairsSister's sighing in her sleepBrother's got a date to keep, he can't hang around[Chorus 1]Our house, in the middle of our streetOur house, in the middle of our[Verse 2]Our house, it has a crowdThere's always something happening, and it's usually quite loudOur mum, she's so house-proudNothing ever slows her down, and a mess is not allowed[Chorus 2]Our house, in the middle of our streetOur house, in the middle of ourOur house, in the middle of our street(Something tells you that you've got to move away from it)Our house, in the middle of our[Verse 3]Father gets up late for workMother has to iron his shirt, then she sends the kids to schoolSees them off with a small kissShe's the one they're going to miss in lots of ways"
Overkill,Men at Work,1983,54,[Verse 1]I can't get to sleepI think about the implicationsOf diving in too deepAnd possibly the complicationsEspecially at nightI worry over situationsI know will be all rightPerhaps it's just imagination[Chorus]And day after day it reappearsAnd night after night my heartbeat shows the fearGhosts appear and fade away[Verse 2]Alone between the sheetsOnly brings exasperationIt's time to walk the streetsSmell the desperationAt least there's pretty lightsAnd though there's little variationIt nullifies the nightFrom overkill[Chorus]Day after day it reappearsNight after night my heartbeat shows the fearGhosts appear and fade awayCome back another day
Is There Something I Should Know?,Duran Duran,1983,55,"[Intro]Please, please tell me nowPlease, please tell me nowPlease, please tell me nowPlease, please tell me now[Verse 1]I made a break, I run out yesterdayTried to find my mountain hideawayMaybe next year, maybe no goI know you're watching meEvery minute of the day, yeahI've seen the signsAnd the looks and the picturesThat give your game away, yeahThere's a dream that strings the roadWith broken glass for us to holdAnd I cut so far before I had to say[Chorus 1]Please, please tell me nowIs there something I should know?Is there something I should sayThat would make you come my way?Do you feel the same?'Cause you don't let it show"
Gloria,Laura Branigan,1983,56,"{Intro}[Verse 1]Gloria, you're always on the run nowRunning after somebodyYou gotta get him somehowI think you've got to slow downBefore you start to blow itI think you're headed for a breakdownSo be careful not to show it[Chorus]You really don't rememberWas it something that he said?Are the voices in your head calling, Gloria?[Verse 2]Gloria, don't you think you're fallin'?If everybody wants youWhy isn't anybody callin'?You don't have to answerLeave them hangin' on the lineOh-oh-oh, calling Gloria[Chorus]Gloria (Gloria), I think they got your number(Gloria) I think they got the alias(Gloria) That you've been living under(Gloria) But you really don't rememberWas it something that they said?Are the voices in your head calling, Gloria?"
Affair of the Heart,Rick Springfield,1983,57,"Heart in my mouthPulse in my headMercury rising into the redThe smell of your skin canLight up all the fires in meHungry to touchI'm eager to pleaseOut of controlAnd I hand you the keysEvery night I am burningTo make love to youBut don't try to tell meYou think it's all physicalIt goes much deeper than thatYou ought to knowIt's an affair of the heartIt's an affair of the heartIt's an affair of the heartHave a little blind faith, believeIt's an affair of the heartWhen we make loveIt's a passionate thingYou shudder and shakeSink your teeth in my skinI almost believe you were madeTo be played by my hands"
She's a Beauty,The Tubes,1983,58,"[Verse 1]Step right up, and don't be shyBecause you will not believe your eyesShe's right here, behind the glassYou're gonna like her 'cause she's got class[Pre-Chorus]You can look inside another worldYou get to talk to a pretty girlShe's everything you dream about[Chorus](But don't fall in love)She's a beauty(She's one in a million girls)She's a beauty(Why would I lie?)Why would I lie?[Verse 2]You can say anything you likeBut you can't touch the merchandiseShe'll give you every penny's worthBut it will cost you a dollar first[Pre-Chorus]You can step outside your little world(Step outside your world)You can talk to a pretty girlShe's everything you dream about"
Solitaire,Laura Branigan,1983,59,"I still remember how much I used to need youTried so hard to please you, but you didn't need meYou knew I loved you, knew I always would be thereYou just did what you wanted, you didn't careAll the cards were held by youThere was nothin' I could doAll those nights I sat alone, starin' at the telephoneWonderin' were you ever comin' home?Solitaire, it got so lonelySolitaire, no one to hold meWhere were you when I played solitaire?It took some time, but I stopped thinkin' about youStarted livin' without you, now look who's back hereYou've had a change of heart, well, mine just couldn't wait, no noYou found out you loved me just a little too lateOnce the cards were held by youNow there's nothin' you can doAll those nights you sit alone, starin' at the telephoneWonderin' if I'm ever comin' homeSolitaire, see what it's like nowSolitaire, to cry all night nowSolitaire, see how it feels to bearSolitaire, it gets so lonelySolitaire, you wanna hold meDon't wait up 'cause, babe, I won't be thereSolitaire, solitaire, solitaire"
Don't Let It End,Styx,1983,60,"What can I do pictures of you still make me cryTrying to live without your love, it's so hard to doSome nights I'll wake up I'll look at your pillowHoping that I'll see you thereBut I get up each dayNot much to say I've nowhere to goLoneliness fills me up inside 'cause I'm missing youSo if you'll give us a chance to remember the love we had once togetherWait and see time is all that we really needI'm praying you won't say no, I mean to tell youDon't let it endBaby we could have so much moreDon't let it endHoney please don't walk out that doorI'm telling you baby, I made my mistakesBut I'll make you this promise to do what it takesI'll be there to protect you and hold you tightYou got my lovin' baby every single nightDon't let it endI'm begging you, don't let it end this wayDon't let it endI'm begging you, don't let it end this wayDon't let it endBaby we could have so much moreDon't let it endHoney please don't walk out that doorDon't let it endI'm begging you, don't let it end this wayDon't let it endI'm begging you, don't let it end this way, no, no, noNo, no, noWhat will I do if you say we're through?I need you to stay, honey don't let it end this way"
