Title,Artist,Year,Rank,Lyrics
Mama Told Me Not to Come,Three Dog Night,1970,11,"[Intro][Verse 1]Want some whiskey in your water?Sugar in your tea?What's all these crazy questions you're askin' me?This is the craziest party that could ever beDon't turn on the lights cause I don't wanna see[Chorus]Mama told me not to come, Oh LordMama told me not to come""That ain't the way to have fun, no"" (Uh-uh!)[Hook][Verse 2]Open up your window, let some air into this roomI think I'm almost chokin' from the smell of stale perfumeAnd that cigarette you're smokin' 'bout scare me half to deathOpen up the window, sucker, let me catch my breath[Chorus]Mama told me not to comeMama told me not to come, She say, uh""That ain't the way to have fun, son""""That ain't the way to have fun, son"" she said"
Everything Is Beautiful,Ray Stevens,1970,12,"[Chorus:]Jesus loves the little childrenAll the little children of the worldRed and yellow, black and whiteThey are precious in his sightJesus loves the little children of the worldEverything is beautifulIn its' own wayLike a starry summer nightOr a snow covered winter's dayEverybody's beautifulIn their own wayUnder God's heavenThe world's gonna find a way[Verse 1:]There is none so blindThat is he who will not seeWe must not close our mindsWe must let our thought be freeFor every hour that passes byYou know the worldGets a little bit olderIt's time to realizeThat beauty liesIn the eyes of the beholder"
Make It with You,Bread,1970,13,"[Verse 1]Hey, have you ever triedReally reaching out for the other side?I may be climbing on rainbowsBut baby, here goes[Pre-Chorus 1]Dreams they're for those who sleepLife is for us to keepAnd if you're wondering what this all is leading to[Chorus]I wanna make it with youI really think that we could make it, girl[Verse 2]No, you don't know me wellAnd every little thing only time will tellIf you believe the things that I doAnd we'll see it through[Pre-Chorus 2]Life can be short or longLove can be right or wrongAnd if I chose the one I'd like to help me through"
Hitchin' a Ride,Vanity Fare,1970,14,"[Verse 1]A thumb goes up, a car goes byIt's nearly 1 AM and here am IHitchin' a ride, hitchin' a rideGotta get me home by the mornin' light[Verse 2]I've got no fare to ride a trainI'm nearly drownin' in the pourin' rainHitchin' a ride, hitchin' a rideGotta get me home to my baby's side[Chorus]Ride, ride, ride, hitchin' a rideRide, ride, ride, hitchin' a ride[Verse 3]Long-distance call I got todayShe sounded lonely, so I'm on my wayHitchin' a ride, hitchin' a rideGotta get me home, keep her satisfied[Chorus]Ride, ride, ride, hitchin' a rideRide, ride, ride, hitchin' a ride"
ABC,The Jackson 5,1970,15,"[Intro: Michael Jackson]A buh-buh buh buhA buh-buh buh buh[Verse 1: Michael Jackson & Jermaine Jackson]You went to school to learn, girlThings you never, never knew beforeLike ""I before E, except after C""And why two plus two makes fourNow now now, I'm gonna teach you (Teach you, teach you)All about love, yeah! (All about love!)Sit yourself down, take a seatAll you gotta do is repeat after me[Chorus: Michael Jackson]A, B, CEasy as 1, 2, 3Or simple as Do-Re-MiA, B, C, 1, 2, 3, baby you and me, girl!A, B, CEasy as 1, 2, 3Or simple as Do-Re-MiA, B, C, 1, 2, 3, baby you and me, girl![Bridge: Tito Jackson, Jackie Jackson, Jermaine Jackson & Michael Jackson]Come on, let me love you just a little bit!Come on, let me love you just a little bit!I'ma gonna teach how to sing it out!Come on, come on, come onLet me show you what it's all about!"
The Love You Save,The Jackson 5,1970,16,"[Intro]Stop! Na na na! You'd better save itStop, stop, stop, you'd better save it[Verse 1]When we played tag in grade schoolYou wanted to be ItBut chasing boys was just a fadYou crossed your heart you'd quitWhen we grew up you tradedYour promise for my ringNow just like back to grade schoolYou're doing the same old thing[Chorus]Stop! The love you save may be your ownDarling, take it slowOr some day you'll be all aloneYou'd better stop! The love you save may be your ownDarling, look both ways before you cross meYou're headed for the danger zone[Post-Chorus]I'm the one who loves youI'm the one you needThose other guys will put you downAs soon as they succeed"
Cracklin' Rosie,Neil Diamond,1970,17,"Aw, Cracklin' Rosie, get on boardWe're gonna rideTill there ain't no more to goTaking it slowAnd Lord, don't you knowWe'll have me a time with a poor man's ladyHitchin' on a twilight trainAin't nothing here that I care to take alongMaybe a songTo sing when I wantNo need to say please to no manFor a happy tuneOh, I love my Rosie childYou got the way to make me happyYou and me we go in styleCracklin' RoseYou're a store-bought womanBut you make me sing like a guitar hummin'So hang on to me, girlOur song keeps runnin' onPlay it now, play it nowPlay it now, my babyCracklin' Rosie, make me a smileGirl, if it lasts for an hour, that's all rightWe got all night to set the world rightFind us a dream that don't ask no questionsYeah"
Candida,Tony Orlando and Dawn,1970,18,"[Verse 1]The stars won't come out if they know that you're aboutCause they couldn't match the glow of your eyes[Bridge 1]And oh, who am I? Just an ordinary guyTryin' hard to win me first prize[Chorus]Woh-oh, Candida, we could make it togetherThe further from here, girl, the betterWhere the air is fresh and cleanHmm-hmm, Candida, just take my hand and I'll lead yaI promise life will be sweeter, and it says so in my dreams[Verse 2]The future is bright, the gypsy told me so last nightSaid she saw our children playin' in the sunshine[Bridge 2]And there was you and I, in a house, baby, no lieAnd all these things were yours, and they were mine[Chorus]Woh, my Candida, we could make it togetherThe further from here girl the betterWhere the air is fresh and cleanHmm-hmm, Candida, just take my hand and I'll lead yaI promise life will be sweeter, and it says so in my dreams"
Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,1970,19,[Verse 1]Lookin' at the devilGrinnin' at his gunFingers start shakin'I begin to runBullets start chasin'I begin to stopWe begin to wrastleI was on the top[Chorus]I want to thank you falettinmeBe mice elf aginThank you falettinmeBe mice elf agin[Verse 2]Stiff all in the collarFluffy in the faceChit chat chatter tryin'Stuffy in the placeThank you for the partyBut I could never stayMany thangs on my mindWords in the way
Spill the Wine,Eric Burdon,1970,20,"I was once out strolling one very hot summer's dayWhen I thought I'd lay myself down to restIn a big field of tall grassI laid there in the sun and felt it caressing my faceAs I fell asleep and dreamedI dreamed I was in a Hollywood movieAnd that I was the star of the movieThis really blew my mindThe fact that me an overfed long haired leaping gnomeShould be the star of a Hollywood movieBut there I wasI was taken to a placeThe hall of the mountain kingsI stood high by the mountain topsNaked to the worldIn front ofEvery kind of girlThere was long ones, tall ones, short ones, brown onesBlack ones, round ones, big ones, crazy onesOut of the middle, came a ladyShe whispered in my earSomething crazyShe said...Spill the wine, take that pearlSpill the wine, take that pearlSpill the wine, take that pearlSpill the wine, take that pearl"
O-o-h Child,Five Stairsteps,1970,21,"[Verse 1]Ooh-oo childThings are gonna get easierOoh-oo childThings'll get brighterOoh-oo childThings are gonna get easierOoh-oo childThings'll get brighter[Chorus]Some day, yeahWe'll get it together and we'll get it all doneSome dayWhen your head is much lighterSome day, yeahWe'll walk in the rays of a beautiful sunSome dayWhen the world is much brighter[Verse 2]Ooh-oo childThings are gonna be easierOoh-oo childThings'll get be brighterOoh-oo childThings are gonna be easierOoh-oo childThings'll get be brighter"
Spirit in the Sky,Norman Greenbaum,1970,22,[Verse 1]When I die and they lay me to restGonna go to the place that's the bestWhen I lay me down to dieGoin' up to the spirit in the sky[Chorus]Goin' up to the spirit in the skyThat's where I'm gonna go when I dieWhen I die and they lay me to restI'm gonna go to the place that's the best[Verse 2]Prepare yourself you know it's a mustGotta have a friend in JesusSo you know that when you dieHe's gonna recommend youTo the spirit in the sky[Chorus]Gonna recommend youTo the spirit in the skyThat's where you're gonna go when you dieWhen you die and they lay you to restYou're gonna go to the place that's the best
Lay Down (Candles in the Rain),Melanie Safka,1970,23,"(chorus:)Lay down lay down, let it all downLet your white birds smile up at theOnes who stand and frownLay down lay down, let it all downLet your white birds smile up at theOnes who stand and frownWe were so close, there was no roomWe bled inside each others woundsWe all had caught the same diseaseAnd we all sang the songs of peaceChorusSo raise the candles high cause if youDon't we could stay black against the nightOh raise them higher again and if youDo we could stay dry against the rainChorusWe were so close, there was no roomWe bled inside each others woundsWe all had caught the same diseaseAnd we all sang the songs of peaceSome came to sing, some came to praySome came to keep the dark awaySo raise the candles highCause if you don't we could stayBlack against the skyOh oh raise them higher againAnd if you do we could stay dry against the rainChorus"
Ball of Confusion (That's What the World Is Today),The Temptations,1970,24,"[Intro]One, twoOne, two, three, four, ow![Verse 1: Eddie, Dennis]People movin' out, people movin' inWhy? Because of the color of their skinRun, run, run, but you sure can't hideAn eye for an eye, a tooth for a toothVote for me and I'll set you freeRap on, brother, rap onWell, the only person talkin' 'bout ""Love thy brother""Is the preacherAnd it seems nobody's interested in learnin'But the teacher[Pre-Chorus: Dennis]Segregation, determination, demonstration, integration Aggravation, humiliation, obligation to our nation[Chorus]Ball of confusionOh, yeahThat's what the world is todayWoo, hey, hey[Verse 2: Paul, Dennis, Melvin]The sale of pills are at an all-time highYoung folks walkin' 'round with their heads in the skyCities aflame in the summertimeAnd oh, the beat goes onEvolution, revolution, gun control, the sound of soulShooting rockets to the moon, kids growin' up too soonPoliticians say more taxes will solve everythingAnd the band played on"
Love on a Two-Way Street,"Ray, Goodman & Brown",1970,25,
Which Way You Goin' Billy?,The Poppy Family,1970,26,"Which way you goin' Billy?Can I go too?Which way you goin' Billy?Can I go with you?I really love you, BillyAnd all this timeI thought you loved me, BillyAnd you were mineI'm gonna miss you, BillyAnd though I'm tryingI'm hurting so bad, BillyI can't help cryingYou are my whole, babeMy heart and my soul, babeI'd have nothing to show, babeIf you should go awayYou are my whole, babeMy heart and my soul, babeI'd have nothing to show, babeIf you should goWhich way you going, Billy?Or need I ask?Cause you don't want me, BillyYou're free at last"
All Right Now,Free,1970,27,"Oh, whoa, whoaOwMm!There she stood in the streetSmiling from her head to her feetI said-ah, hey, what is this?Now baby, maybe, maybe she's in need of a kissI said-ah, ""Hey, what's your name baby?Maybe we can see things the sameNow don't you wait or hesitateLet's move before they raise the parking rate.""Ow!All right nowBaby, it's-ah all right nowMm!All right nowBaby, it's-ah all right nowWhoa, oohLet me tell you all about it nowMm!I took her home to my placeWatching every move on her faceShe said, ""Look, what's your game, baby?Are you tryin' to put me in shame?"""
I Want You Back,The Jackson 5,1970,28,"[Intro: Michael Jackson]Uh-huh huh huh huhLet me tell ya nowUh-huh[Verse 1: Michael Jackson]When I had you to myself, I didn't want you aroundThose pretty faces always made you stand out in a crowdBut someone picked you from the bunch, one glance was all it tookNow it's much too late for me to take a second look[Chorus: Michael Jackson & Jackson 5]Oh, baby, give me one more chance (To show you that I love you)Won't you please let me (Back in your heart)Oh, darlin', I was blind to let you go (Let you go, baby)But now since I see you in his arms (I want you back)[Post-Chorus: Michael Jackson & Jackson 5]Yes, I do now (I want you back)Ooh, ooh, baby (I want you back)Yeah, yeah, yeah, yeah (I want you back)Na, na, na, na[Verse 2: Michael Jackson]Tryin' to live without your love is one long sleepless nightLet me show you, girl, that I know wrong from rightEvery street you walk on I leave tear stains on the groundFollowing the girl I didn't even want aroundLet me tell you now"
"Julie, Do Ya Love Me",Bobby Sherman,1970,29,"Bein' alone at night makes me sad, girlYeah, it brings me down all rightTossin' and turnin' and freezin' and burnin'And cryin' all through the nightWhoa-ohJulie, Julie, Julie, do ya love me?Julie, Julie, Julie, do ya care?Julie, Julie, are ya thinkin' of me?Julie, Julie, will ya still be there?We had so much fun togetherI was sure that you were mineBut leavin' you, baby, is drivin' me crazyIt's got me wonderin' all the timeWhoa-ohJulie, Julie, Julie, do ya love me?Ah, Julie, Julie, Julie, do ya care?Julie, Julie, are ya thinkin' of me?Julie, Julie, will ya still be there?Honey, you cried the day I left youEven though we knew I couldn't stayBut baby, remember, I'll be back SeptemberBut till then I'll write you every dayWhoa-ohJulie, Julie, Julie, do ya love me?Ah, Julie, Julie, Julie, do ya care?Come on, Julie, Julie, are ya thinkin' of me?Julie, Julie, will ya still be there?Oh-ohJulie, Julie, Julie, do ya love me?Ah, Julie, Julie, Julie, do ya care?Julie, Julie, are ya thinkin' of me?Julie, Julie, will ya still be there?"
Green-Eyed Lady,Sugarloaf,1970,30,"Green-eyed lady, lovely ladyStrolling slowly towards the sunGreen-eyed lady, ocean ladySoothing every raging wave that comesGreen-eyed lady, passion's ladyDressed in love, she lives for life to beGreen-eyed lady feels life I never seeSetting suns and lonely lovers freeGreen-eyed lady, wind-swept ladyRules the night, the waves, the sandGreen-eyed lady, ocean ladyChild of nature, friend of manGreen-eyed lady, passion's ladyDressed in love, she lives for life to beGreen-eyed lady feels life I never seeSetting suns and lonely lovers free"
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,1970,31,"[Intro]Ah-hey!Oh yeah, baby![Verse 1]Like a fool I went and stayed too longNow I'm wondering if your love's still strongOoh baby, here I am, signed, sealed, delivered, I'm yours! Mmh!Then that time I went and said goodbyeNow I'm back and not ashamed to cryOoh baby, here I am, signed, sealed, delivered, I'm yours! Ahh![Chorus]Here I am, baby, oh ohSigned, sealed, delivered, I'm yours(You got my future in your hands)Here I am, babySigned, sealed, delivered, I'm yours[Bridge]You got my future in your hands, hey heyI've done a lot of foolish thingsThat I really didn't mean, ah hey, yeah yeahDidn't I? Oh baby[Verse 2]Seen a lot of things in this old worldWhen I touch them, they mean nothing, girlOoh baby, here I am, signed, sealed, delivered, I'm yours!Ahh, I’m yours!Ooh wee baby, you set my soul on fireThat's why I know you're my heart's only desireOoh baby, here I am, signed, sealed, delivered, I'm yours!"
Ride Captain Ride,Blues Image,1970,32,"[Intro]Seventy-three men sailed up from the San Francisco BayRolled off of their ship, and here's what they had to say""We're callin' everyone to ride along to another shoreWe can laugh our lives away and be free once more""But no one heard them callin', no one came at allCause they were too busy watchin' those old raindrops fallAs a storm was blowin' out on the peaceful seaSeventy-three men sailed off to historyRide, captain ride upon your mystery shipBe amazed at the friends you have here on your tripRide captain ride upon your mystery shipOn your way to a world that others might have missed[Bridge]Seventy-three men sailed up from the San Francisco BayRolled off of their ship, and here's what they had to say""We're callin' everyone to ride along to another shoreWe can laugh our lives away and be free once more""But no one heard them callin', no one came at allCause they were too busy watchin' those old raindrops fallAs a storm was blowin' out on the peaceful seaSeventy-three men sailed off to history"
Venus,Shocking Blue,1970,33,"[Instrumental Intro][Verse 1]A godness on a mountain topWas burning like a silver flameThe summit of beauty and loveAnd Venus was her name[Chorus]She's got itYeah, baby, she's got itWell, I'm your VenusI'm your fire, at your desireWell, I'm your VenusI'm your fire, at your desire[Instrumental Bridge][Verse 2]Her weapons were her crystal eyesMaking every man madBlack as the dark night she wasGot what no-one else hadWow![Chorus]She's got itYeah, baby, she's got itWell, I'm your VenusI'm your fire, at your desireWell, I'm your VenusI'm your fire, at your desire"
Instant Karma!,John Lennon,1970,34,"[Intro]Three, four...[Verse 1]Instant Karma's going to get youGoing to knock you right on the headYou better get yourself togetherPretty soon you're going to be dead[Pre-Chorus 1]What in the world you thinking ofLaughing in the face of love?What on earth you tryin' to do?It's up to you, yeah you![Verse 2]Instant Karma's gonna get youGoing to look you right in the faceBetter get yourself together, darlingJoin the human race[Pre-Chorus 2]How in the world you gonna seeLaughing at fools like me?Who on earth d'you think you are?A superstar? Well right you are!"
Patches,Clarence Carter,1970,35,"I was born and raised down in AlabamaOn a farm way back up in the woodsI was so ragged the folks used to call me ""Patches""Papa used to tease me about it'Course deep down inside he was hurt'Cause he'd done all he couldMy papa was a great old manI can see him with a shovel in his handSee, education he never hadHe did wonders when the time got badThe little money from the crops he raisedBarely paid the bills we madeOh, life had kicked him down to the groundWhen he tried to get up life would kick him back downOne day papa called me to his dyin' bedPut his hands on my shoulders and in tears he saidHe said:""Patches, I'm depending on you sonTo pull the family throughMy son, it's all left up to you""Two days later papa passed awayAnd I became a man that daySo I told mama I was gonna quit schoolBut she said that was daddy's strictest rule"
Lookin' out My Back Door,Creedence Clearwater Revival,1970,36,"[Verse 1]Just got home from Illinois, lock the front door, oh boyGot to sit down, take a rest on the porchImagination sets in, pretty soon I'm singingDoot, doot, doo, looking out my back door[Verse 2]There's a giant doing cartwheels, a statue wearing high heelsLook at all the happy creatures dancing on the lawnA dinosaur Victrola, listening to Buck OwensDoot, doot, doo, looking out my back door[Bridge 1]Tambourines and elephants are playing in the bandWon't you take a ride on the flying spoon?Doot, doo dooA wondrous apparition, provided by magicianDoot, doot, doo, looking out my back door[Guitar solo][Bridge 2]Tambourines and elephants are playing in the bandWon't you take a ride on the flying spoon?Doot, doo dooBother me tomorrow, today I'll buy no sorrowsDoot, doot, doo, looking out my back door"
Rainy Night in Georgia,Brook Benton,1970,37,"[Verse 1]Hoverin' by my suitcaseTryin' to find a warm placeTo spend the nightHeavy rain fallin'Seems I hear your voice callin'It's all right[Chorus]A rainy night in GeorgiaA rainy night in GeorgiaIt seems like it's rainin' all over the worldI feel like it's rainin' all over the world[Verse 2]Neon signs a-flashin'Taxicabs and busesPassin' through the nightA distant moanin' of a trainSeems to play a sad refrainTo the night[Chorus]A rainy night in GeorgiaSuch a rainy night in GeorgiaLord, I believe it's rainin' all over the worldI feel like it's rainin' all over the world"
Something's Burning,Kenny Rogers,1970,38,"You lie in gentle sleep beside meI hear your warm and rhythmic breathingI take your hand and hold it tightlyListen, can you not hear our young hearts beatingI kiss the sleep from your eyesYour smile is sweeter than the morningAnd a-here it comesCan't you feel it, babyCan't you feel it, here it comesFeel it, feel itFire, fireSomething's burningSomething's burningSomething's burningAnd I think it's loveAnd now the sun is burning brightlyWe lie in love so close togetherI get the feeling deep inside meMy love for you will burn foreverI cup my hands to touch your faceAnd once again I feel your fireAnd a-here it comes"
Give Me Just a Little More Time,Chairmen of the Board,1970,39,"Give me just a little more timeAnd our love will surely growGive me just a little more timeAnd our love will surely growLife's too short to make a mistakeLet's think of each other and hesitateYoung and impatient we may beThere's no need to act foolishlyIf we part, our hearts won't forget itYears from now we'll surely regret itGive me just a little more timeAnd our love will surely growGive me just a little more timeAnd our love will surely growYou're young and you're in a hurryYou're eager for love, but don't you worryWe both want the sweetness in lifeBut these things don't come overnightDon't give up 'cause love's been slowGirl, we gonna succeed with another blowJust give me just a little more timeAnd our love will surely growBaby, please, babyBaby, please, baby"
