Title,Artist,Year,Rank,Lyrics
Hell of a View,Eric Church,2021,91,"[Verse 1]I was no daddy's dreamWas not your momma's prayerBut I was your first and yourLast ticket out of thereI caught your wings on fireWhen I smoked my bronco tiresOut of that town[Verse 2]I'm good at rollin' diceNo good at standin' stillYou liked the thought of chasin'Life instead of dollar billsWe were livin' wrecklessNothin' to catch us, babyBut the ground[Chorus]This ain't for everybodyToes hangin' off the ledgeLike we got nothin' to loseAin't always Heaven, babyThis livin' on the edgeYou holdin' me, holdin' youIt's a Hell of a view"
Rockin' Around the Christmas Tree,Brenda Lee,2021,92,"[Verse 1]Rockin' around the Christmas treeAt the Christmas party hopMistletoe hung where you can seeEvery couple tries to stop[Verse 2]Rockin' around the Christmas treeLet the Christmas spirit ringLater we'll have some pumpkin pieAnd we'll do some caroling[Pre-Chorus]You will get a sentimental feeling when you hearVoices singing, ""Let's be jollyDeck the halls with boughs of holly!""[Chorus]Rockin' around the Christmas treeHave a happy holidayEveryone's dancing merrilyIn the new old fashioned way[Instrumental Break][Pre-Chorus]You will get a sentimental feeling when you hearVoices singing, ""Let's be jollyDeck the halls with boughs of holly!"""
Put Your Records On,Ritt Momney,2021,93,"[Verse 1]Three little birds sat on my windowAnd they told me I don't need to worrySummer came like cinnamon, so sweetLittle girls double-dutch on the concrete[Pre-Chorus 1]Maybe sometimes we got it wrong, but it's all rightThe more things seem to change, the more they stay the sameDon't you hesitate[Chorus]Girl, put your records on, tell me your favorite songYou go ahead, let your hair downSapphire and faded jeans, I hope you get your dreamsJust go ahead, let your hair down[Post-Chorus]You're gonna find yourself somewhere, somehow[Verse 2]Blue as the sky, sunburnt and lonelySipping tea in the bar by the roadside (Just relax, just relax)Don't you let those other boys fool youGotta love that afro hairdo"
Happier Than Ever,Billie Eilish,2021,94,"[Chorus]When I'm away from youI'm happier than everWish I could explain it betterI wish it wasn't true[Verse 1]Give me a day or two to think of something cleverTo write myself a letterTo tell me what to do, mm-mmDo you read my interviews?Or do you skip my avenue?When you said you were passin' throughWas I even on your way?I knew when I asked you to (When I asked you to)Be cool about what I was tellin' youYou'd do the opposite of what you said you'd do (What you said you'd do)And I'd end up more afraidDon't say it isn't fairYou clearly werеn't aware that you made me misеrableSo if you really wanna know[Chorus]When I'm away from you (When I'm away from you)I'm happier than ever (Happier than ever)Wish I could explain it better (Wish I could explain it better)I wish it wasn't true, mm-mm"
Single Saturday Night,Cole Swindell,2021,95,"[Verse 1]I was out taking shotsThrowing down at the spotThree sheets, just me and the guysEvery single Saturday nightI was killing time, crushing cansTrying not to catch a tan'Cause I was under them neon lightsEvery single Saturday night, yeahEverybody knew they could find me thereAnd right out of the blue, right out of nowhereOut of nowhere[Chorus]Sittin’ over in the corner, baby, I sawPretty red lips, working on a White ClawShaking to a little, shook me all night longAnd I thought, ""Man, what a beautiful sight""Ain't a mornin' you don’t wake up in my shirt nowEven holding hands walkin' out of church nowWho'd of thought, baby, looking back thatThat would be my last single Saturday night?YeahMy last single Saturday night[Verse 2]And now when I'm out, havin' a drink or twoIf they see me, uh, well, they see you'Cause, girl, I got you by my sideEvery single Saturday night, yeahEvery now and then, the boys tell me they miss meOh but they all get it 'cause they were right there with meYeah with me, when"
Things a Man Oughta Know,Lainey Wilson,2021,96,"[Verse 1]I can hook a trailer on a two-inch hitchI can shoot a shotgun, I can catch a fishI can change a tire on the side of a roadYeah, I know a few things a man oughta know[Chorus]How to know when it's loveHow to stay when it's toughHow to know you're messin' up a good thingAnd how to fix it 'fore it's too lateAnd yeah, I know a boyWho gave up and got it wrongIf you really love a woman, you don't let her goYeah, I know a few things a man oughta know[Verse 2]If I can't have it, I can do withoutI can hang a picture same as I can take it downAnd how to keep it hidden when a heart gets brokeYeah, I know a few things a man oughta know[Chorus]How to know when it's loveHow to stay when it's toughHow to know you're messin' up a good thingAnd how to fix it 'fore it's too lateAnd yeah, I know a boyWho gave up and got it wrongIf you really love a woman, you don't let her goYeah, I know a few things a man oughta know"
Throat Baby (Go Baby),BRS Kash,2021,97,"[Intro](What's happenin', Chi Chi?)[Chorus]Sexy lil' bitch, sexy lil' hoI love the way you walk, love the way you talkLet a young nigga come play in your throatDeep stroke your throat 'til I make you chokeThroat babies, I'm tryna give 'em to youThroat babies, I'm tryna bust all on youSexy lil' bitch, sexy lil' hoI love the way you walk, love the way you talkLet a young nigga come play in your throatDeep stroke your throat 'til I make you chokeThroat babies, I'm tryna give 'em to youThroat babies, I'm tryna bust all on you[Verse 1]Got a lil' hundred, that's if you want itExtra lil' forty, gotta come right nowAnd I got beans you bite downSuper good head, no cap, gownSince the first time, I been fiendin', couldn't even believe itHead like that, shit, pussy, don't need itWhen she get hungry, she eat my semenBalls and all, with her mouth, she clean itWashing machine trick, oohShawty got mean grip, oohKnow what she came to doSuck this dick, then she dip, oohHead monster, set an appointmentMy soul wet, need your anointingWay too good, may buy you somethin'Made a whole song, see, I ain't frontin'I shoot the world for youI go to war for youDamn, bae got me trippin'BOA head, make me cum instantShe ain't even gotta ask for attention (Why?)'Cause I'ma give it to her (What else?)Money, I give it to herClock on rocks, I give it to her"
Tombstone,Rod Wave,2021,98,"[Intro]Damn, this motherfucker too crazy, SauciiLet that shit ride, Eighty8When the shit over, it's overI don't know what's after or, you know[Verse]I keep my gun in my drawers, ducking the sad news (Oh yeah)My phone say seven missed calls, I know it's bad newsThis life had left me so scarred, I'm knowing that's trueRemember times got so hard, I got it tattoed (So hard)I ain't did no shows but made some bread (Yeah)I gotta keep the family fed (Yeah, yeah)Look, just talked to pops about the fedsI ain't gon' lie, he had me scarеd, uhI feel 'em coming, nigga (Yeah)I'll keep on running, nigga (Yeah)If wе go down bad, keep it a hundred, niggaMy girl all in my ear screaming, ""Spend some time""I promise I'll be here when I can get some timeRight now, I got to get what's mine (For sure)I'll be thuggin' 'til the end of timeAnd fuck these niggas 'cause they lameSince they love saying my nameMake sure you write the truest in the motherfucking gameOn my"
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,2021,99,"[Verse 1: Chase Rice]Firewood crackle in the fall air""Red Dirt"" playing on a radioBig Dipper hanging high up thereBreathe in the Backwoods and let it go[Pre-Chorus: Chase Rice]I ain't ever been the church goin' typeCan't quote much past 3:16Even though it's a Friday nightChurch found me[Chorus: Chase Rice]Sittin' here, drinkin' beer, talkin' God, amenKillin' time, livin' life with some downhome friendsWhen the world's gone crazy, man, it all makes senseSittin' here, drinkin' beer, talkin' God, amen, amen[Post-Chorus: Chase Rice & Tyler Hubbard]Tell em' boysYeah, baby[Verse 2: Tyler Hubbard, with Brian Kelley]Gotta thank him for a little piece of dirtLittle peace of mind from a cold oneGot a country angel I don't deserveThe kind that you never let go of"
Todo de Ti,Rauw Alejandro,2021,100,"[Letra de ""Todo De Ti""][Intro]One, twoOne, two, three, fourDice, Ra-Rauw[Verso 1]El viento soba tu cabelloUh-uh-uh-uh-uhMe matan esos ojos bellosUh-uh-uh-uh-uhMe gusta tu olor, de tu piel el colorY cómo me haces sentirMe gusta tu boquita, ese labial rositaY cómo me besas a mí (Yeh)[Pre-Estribillo]Contigo quiero despertarHacerlo después de fumar (Ey)Ya no tengo na' que buscarAlgo fuera de aquíTú combinas con el marEse bikini se ve fenomenalNo hay gravedad que me pueda elevarMe pones mal a mí (¡Yah!)"
